# Disease: COVID-19	
# Date: 2021-03-03 23:56:03.512107	
Drug ID	Distance score
DB00277	0.04279
DB05015	0.2405
DB09107	0.26627
DB06813	0.35076
DB09256	0.38174
DB09074	0.43668
DB06603	0.48768
DB09269	0.52396
DB00603	0.53762
DB04572	0.55256
DB09105	0.60835
DB05773	0.6851
DB00569	0.70229
DB00016	0.77584
DB06789	0.7844
DB11750	0.79767
DB00012	0.81285
DB01223	0.83547
DB04868	0.84813
DB00707	0.8565
DB00888	0.91082
DB00499	0.99608
DB09101	0.99641
DB00848	0.99911
DB09330	1.06455
DB01006	1.07033
DB09143	1.07792
DB01394	1.08786
DB00309	1.10035
DB00552	1.10678
DB00184	1.10847
DB00322	1.16078
DB01611	1.20637
DB06786	1.222
DB09296	1.23563
DB00482	1.23821
DB08899	1.24644
DB00834	1.24775
DB00443	1.26686
DB00665	1.27077
DB00291	1.27765
DB01042	1.3089
DB09274	1.31046
DB01225	1.31119
DB01127	1.34393
DB06228	1.3476
DB00220	1.34985
DB08875	1.36356
DB01590	1.36501
DB00290	1.37544
DB00553	1.41752
DB00262	1.42224
DB01008	1.43934
DB00509	1.44825
DB00503	1.45724
DB05812	1.46291
DB00762	1.473
DB09054	1.48154
DB01234	1.49914
DB08908	1.51564
DB03166	1.56223
DB00570	1.56455
DB00095	1.57655
DB06243	1.5873
DB08868	1.59832
DB00357	1.59939
DB00916	1.60972
DB01057	1.61246
DB13179	1.61468
DB01101	1.61576
DB05630	1.62
DB00317	1.62645
DB00711	1.62716
DB01269	1.62984
DB00764	1.63759
DB00005	1.65649
DB00990	1.65701
DB00772	1.66079
DB00158	1.68604
DB01116	1.69275
DB00054	1.71384
DB01005	1.7145
DB00014	1.72148
DB08906	1.74992
DB01126	1.77435
DB08894	1.8004
DB00608	1.8084
DB09102	1.81326
DB06287	1.81553
DB01047	1.84959
DB00544	1.88228
DB01380	1.88267
DB04942	1.88449
DB00451	1.89614
DB00701	1.90048
DB01583	1.90178
DB00004	1.91214
DB01222	1.91214
DB00361	1.91474
DB06589	1.92793
DB00441	1.9298
DB01013	1.94981
DB00056	1.95403
DB00112	1.96029
DB00196	1.96885
DB00110	1.98372
DB01220	1.98631
DB06147	2.01844
DB00582	2.028
DB04938	2.03315
DB09297	2.03391
DB00002	2.04332
DB01254	2.05268
DB00279	2.06801
DB00773	2.07182
DB01232	2.07418
DB00588	2.13107
DB00108	2.13335
DB00074	2.13685
DB00200	2.13921
DB00635	2.14184
DB00305	2.14227
DB05239	2.14744
DB09110	2.15391
DB00394	2.15486
DB04932	2.17763
DB09221	2.18463
DB00563	2.18936
DB08871	2.20131
DB01128	2.20806
DB00351	2.21686
DB00444	2.21906
DB00959	2.22178
DB11574	2.22591
DB13867	2.23385
DB00078	2.23425
DB00092	2.24236
DB00531	2.24989
DB00060	2.25512
DB00239	2.2583
DB00041	2.26862
DB05311	2.26966
DB08865	2.27256
DB03904	2.27315
DB06401	2.31692
DB11569	2.32765
DB00896	2.33334
DB00724	2.33502
DB01181	2.33782
DB08896	2.34217
DB08864	2.34281
DB06819	2.34693
DB00324	2.36427
DB09257	2.36663
DB09078	2.37721
DB01201	2.37819
DB00072	2.38385
DB09065	2.40334
DB00738	2.42203
DB09029	2.43666
DB01030	2.4416
DB03106	2.45256
DB00741	2.45727
DB09389	2.46206
DB00763	2.47629
DB01268	2.48083
DB00288	2.50304
DB00008	2.51789
DB05109	2.52421
DB00180	2.52612
DB06781	2.52689
DB08901	2.53782
DB00640	2.543
DB00755	2.5615
DB00432	2.58317
DB00860	2.5959
DB04845	2.59714
DB06626	2.59904
DB00194	2.63158
DB00530	2.63369
DB00238	2.64216
DB06209	2.65647
DB11591	2.65696
DB06412	2.66101
DB09079	2.66904
DB00253	2.68143
DB01093	2.69998
